index,customer_id,total_spent,avg_order_value,order_frequency,total_items,avg_discount,first_purchase,last_purchase,customer_lifetime,recency,segment,segment_name,customer_tier,revenue_per_order,recency_category,clv_score,frequency_score,recency_score
0,1000,8190.67,1638.13,5,11,0.09,2023-07-03,2024-12-19,535,11,1,High Value Loyalists,Platinum,1638.134,Very Recent,49.0,31.0,98.0
1,1001,1600.86,228.69,7,9,0.19,2023-01-29,2024-03-10,406,295,0,Discount Driven,Gold,228.6942857142857,Inactive,10.0,44.0,59.0
2,1002,447.3,89.46,5,7,0.17,2023-03-19,2024-11-21,613,39,0,Discount Driven,Bronze,89.46000000000001,Recent,3.0,31.0,95.0
3,1003,4874.58,609.32,8,17,0.11,2023-10-19,2024-10-07,354,84,1,High Value Loyalists,Gold,609.3225,Recent,29.0,50.0,88.0
4,1004,3573.84,595.64,6,14,0.07,2023-04-04,2024-01-30,301,335,1,High Value Loyalists,Gold,595.64,Inactive,21.0,38.0,54.0
5,1005,2888.1,320.9,9,17,0.18,2023-02-01,2024-12-25,693,5,1,High Value Loyalists,Gold,320.9,Very Recent,17.0,56.0,99.0
6,1006,2090.63,298.66,7,13,0.2,2023-05-22,2024-12-30,588,0,0,Discount Driven,Gold,298.6614285714286,,12.0,44.0,100.0
7,1007,2467.33,616.83,4,9,0.13,2023-02-04,2024-09-24,598,97,0,Discount Driven,Gold,616.8325,Moderate,15.0,25.0,87.0
8,1008,1110.13,277.53,4,6,0.09,2023-11-30,2024-11-17,353,43,0,Discount Driven,Silver,277.5325,Recent,7.0,25.0,94.0
9,1009,1519.1,379.78,4,9,0.12,2023-03-09,2024-07-01,480,182,0,Discount Driven,Gold,379.775,Inactive,9.0,25.0,75.0
10,1010,4170.48,595.78,7,15,0.19,2023-02-28,2024-12-01,642,29,1,High Value Loyalists,Gold,595.7828571428571,Very Recent,25.0,44.0,96.0
11,1011,1567.39,174.15,9,11,0.17,2023-02-02,2024-10-09,615,82,0,Discount Driven,Gold,174.15444444444447,Recent,9.0,56.0,89.0
12,1012,964.49,137.78,7,10,0.11,2023-06-15,2024-06-09,360,204,0,Discount Driven,Silver,137.78428571428572,Inactive,6.0,44.0,72.0
13,1013,1845.34,369.07,5,7,0.18,2023-01-04,2024-05-26,508,218,0,Discount Driven,Gold,369.068,Inactive,11.0,31.0,70.0
14,1014,1228.7,245.74,5,7,0.17,2023-02-17,2024-12-02,654,28,0,Discount Driven,Silver,245.74,Very Recent,7.0,31.0,96.0
15,1015,864.84,172.97,5,11,0.08,2023-09-19,2024-10-25,402,66,0,Discount Driven,Silver,172.96800000000002,Recent,5.0,31.0,91.0
16,1016,2991.29,332.37,9,13,0.13,2023-02-01,2024-10-13,620,78,1,High Value Loyalists,Gold,332.36555555555555,Recent,18.0,56.0,89.0
17,1017,2486.35,621.59,4,7,0.14,2023-05-29,2024-06-17,385,196,0,Discount Driven,Gold,621.5875,Inactive,15.0,25.0,73.0
18,1018,3033.57,379.2,8,15,0.17,2023-01-10,2024-09-06,605,115,1,High Value Loyalists,Gold,379.19625,Moderate,18.0,50.0,84.0
19,1019,2373.94,395.66,6,10,0.13,2023-05-30,2024-11-18,538,42,0,Discount Driven,Gold,395.6566666666667,Recent,14.0,38.0,94.0
20,1020,1586.19,317.24,5,10,0.05,2023-11-17,2024-08-03,260,149,0,Discount Driven,Gold,317.238,Moderate,9.0,31.0,80.0
21,1021,516.69,103.34,5,6,0.15,2023-02-26,2024-12-19,662,11,0,Discount Driven,Silver,103.33800000000001,Very Recent,3.0,31.0,98.0
22,1022,2042.47,255.31,8,10,0.16,2023-03-24,2024-08-06,501,146,0,Discount Driven,Gold,255.30875,Moderate,12.0,50.0,80.0
23,1023,736.55,147.31,5,6,0.06,2023-02-10,2024-08-07,544,145,0,Discount Driven,Silver,147.31,Moderate,4.0,31.0,80.0
24,1024,224.22,74.74,3,4,0.16,2023-03-10,2024-11-24,625,36,0,Discount Driven,Bronze,74.74,Recent,1.0,19.0,95.0
25,1025,2174.34,434.87,5,9,0.1,2024-04-07,2024-07-05,89,178,0,Discount Driven,Gold,434.86800000000005,Moderate,13.0,31.0,76.0
26,1026,3932.25,491.53,8,11,0.1,2023-01-09,2024-12-12,703,18,1,High Value Loyalists,Gold,491.53125,Very Recent,23.0,50.0,98.0
27,1027,9095.59,606.37,15,30,0.13,2023-01-26,2024-12-11,685,19,1,High Value Loyalists,Platinum,606.3726666666666,Very Recent,54.0,94.0,97.0
28,1028,470.7,156.9,3,5,0.11,2023-03-27,2024-10-16,569,75,0,Discount Driven,Bronze,156.9,Recent,3.0,19.0,90.0
29,1029,2935.05,587.01,5,9,0.13,2023-07-08,2024-11-03,484,57,1,High Value Loyalists,Gold,587.01,Recent,17.0,31.0,92.0
30,1030,725.29,181.32,4,7,0.11,2023-05-26,2024-11-18,542,42,0,Discount Driven,Silver,181.3225,Recent,4.0,25.0,94.0
31,1031,5225.66,746.52,7,12,0.14,2023-05-05,2024-08-28,481,124,1,High Value Loyalists,Platinum,746.5228571428571,Moderate,31.0,44.0,83.0
32,1032,362.05,72.41,5,8,0.13,2023-05-23,2024-09-13,479,108,0,Discount Driven,Bronze,72.41,Moderate,2.0,31.0,85.0
33,1033,419.54,69.92,6,6,0.16,2023-04-04,2024-10-02,547,89,0,Discount Driven,Bronze,69.92333333333333,Recent,2.0,38.0,88.0
34,1034,358.63,179.32,2,2,0.28,2023-08-09,2024-10-29,447,62,0,Discount Driven,Bronze,179.315,Recent,2.0,12.0,91.0
35,1035,91.64,91.64,1,2,0.03,2023-05-25,2023-05-25,0,585,0,Discount Driven,Bronze,91.64,Inactive,1.0,6.0,20.0
36,1036,2142.4,428.48,5,9,0.12,2023-01-15,2024-12-02,687,28,0,Discount Driven,Gold,428.48,Very Recent,13.0,31.0,96.0
37,1037,3472.75,496.11,7,11,0.12,2023-08-18,2024-12-29,499,1,1,High Value Loyalists,Gold,496.10714285714283,Very Recent,21.0,44.0,100.0
38,1038,2043.32,340.55,6,11,0.14,2023-07-15,2024-11-19,493,41,0,Discount Driven,Gold,340.55333333333334,Recent,12.0,38.0,94.0
39,1039,457.45,228.72,2,3,0.14,2023-07-08,2024-03-10,246,295,0,Discount Driven,Bronze,228.725,Inactive,3.0,12.0,59.0
40,1040,3521.92,1173.97,3,7,0.1,2023-02-03,2023-10-20,259,437,1,High Value Loyalists,Gold,1173.9733333333334,Inactive,21.0,19.0,40.0
41,1041,138.07,46.02,3,5,0.21,2023-04-05,2024-02-05,306,329,0,Discount Driven,Bronze,46.02333333333333,Inactive,1.0,19.0,55.0
42,1042,842.76,210.69,4,6,0.18,2023-04-12,2024-01-12,275,353,0,Discount Driven,Silver,210.69,Inactive,5.0,25.0,51.0
43,1043,2150.99,430.2,5,6,0.12,2023-03-15,2024-11-23,619,37,0,Discount Driven,Gold,430.198,Recent,13.0,31.0,95.0
44,1044,3158.25,451.18,7,12,0.12,2023-07-14,2024-07-18,370,165,1,High Value Loyalists,Gold,451.17857142857144,Moderate,19.0,44.0,77.0
45,1045,982.61,163.77,6,10,0.14,2023-02-23,2024-09-02,557,119,0,Discount Driven,Silver,163.76833333333335,Moderate,6.0,38.0,84.0
46,1046,96.4,96.4,1,1,0.37,2024-07-05,2024-07-05,0,178,0,Discount Driven,Bronze,96.4,Moderate,1.0,6.0,76.0
47,1047,460.23,115.06,4,5,0.19,2023-02-20,2024-08-22,549,130,0,Discount Driven,Bronze,115.0575,Moderate,3.0,25.0,82.0
48,1048,4827.15,965.43,5,10,0.2,2023-06-25,2024-12-11,535,19,1,High Value Loyalists,Gold,965.43,Very Recent,29.0,31.0,97.0
49,1049,2440.11,488.02,5,8,0.13,2023-01-23,2024-01-18,360,347,0,Discount Driven,Gold,488.02200000000005,Inactive,14.0,31.0,52.0
50,1050,3984.46,498.06,8,13,0.14,2023-04-16,2024-12-25,619,5,1,High Value Loyalists,Gold,498.0575,Very Recent,24.0,50.0,99.0
51,1051,1487.85,247.98,6,10,0.11,2023-08-15,2024-12-29,502,1,0,Discount Driven,Silver,247.975,Very Recent,9.0,38.0,100.0
52,1052,3008.52,601.7,5,10,0.13,2023-01-13,2024-11-17,674,43,1,High Value Loyalists,Gold,601.704,Recent,18.0,31.0,94.0
53,1053,141.6,35.4,4,6,0.13,2023-03-28,2024-06-23,453,190,0,Discount Driven,Bronze,35.4,Inactive,1.0,25.0,74.0
