customer_id,total_spent,avg_order_value,order_frequency,total_items,avg_discount,first_purchase,last_purchase,customer_lifetime,recency,segment
1000,8190.67,1638.13,5,11,0.09,2023-07-03,2024-12-19,535,11,1
1001,1600.86,228.69,7,9,0.19,2023-01-29,2024-03-10,406,295,0
1002,447.3,89.46,5,7,0.17,2023-03-19,2024-11-21,613,39,0
1003,4874.58,609.32,8,17,0.11,2023-10-19,2024-10-07,354,84,1
1004,3573.84,595.64,6,14,0.07,2023-04-04,2024-01-30,301,335,1
1005,2888.1,320.9,9,17,0.18,2023-02-01,2024-12-25,693,5,1
1006,2090.63,298.66,7,13,0.2,2023-05-22,2024-12-30,588,0,0
1007,2467.33,616.83,4,9,0.13,2023-02-04,2024-09-24,598,97,0
1008,1110.13,277.53,4,6,0.09,2023-11-30,2024-11-17,353,43,0
1009,1519.1,379.78,4,9,0.12,2023-03-09,2024-07-01,480,182,0
1010,4170.48,595.78,7,15,0.19,2023-02-28,2024-12-01,642,29,1
1011,1567.39,174.15,9,11,0.17,2023-02-02,2024-10-09,615,82,0
1012,964.49,137.78,7,10,0.11,2023-06-15,2024-06-09,360,204,0
1013,1845.34,369.07,5,7,0.18,2023-01-04,2024-05-26,508,218,0
1014,1228.7,245.74,5,7,0.17,2023-02-17,2024-12-02,654,28,0
1015,864.84,172.97,5,11,0.08,2023-09-19,2024-10-25,402,66,0
1016,2991.29,332.37,9,13,0.13,2023-02-01,2024-10-13,620,78,1
1017,2486.35,621.59,4,7,0.14,2023-05-29,2024-06-17,385,196,0
1018,3033.57,379.2,8,15,0.17,2023-01-10,2024-09-06,605,115,1
1019,2373.94,395.66,6,10,0.13,2023-05-30,2024-11-18,538,42,0
1020,1586.19,317.24,5,10,0.05,2023-11-17,2024-08-03,260,149,0
1021,516.69,103.34,5,6,0.15,2023-02-26,2024-12-19,662,11,0
1022,2042.47,255.31,8,10,0.16,2023-03-24,2024-08-06,501,146,0
1023,736.55,147.31,5,6,0.06,2023-02-10,2024-08-07,544,145,0
1024,224.22,74.74,3,4,0.16,2023-03-10,2024-11-24,625,36,0
1025,2174.34,434.87,5,9,0.1,2024-04-07,2024-07-05,89,178,0
1026,3932.25,491.53,8,11,0.1,2023-01-09,2024-12-12,703,18,1
1027,9095.59,606.37,15,30,0.13,2023-01-26,2024-12-11,685,19,1
