customer_id,transaction_date,product_category,quantity,unit_price,discount,total_revenue,customer_type,month,year,day_of_week
8270,2023-01-07,Beauty,2,20.53,0.158,38.04,regular,1,2023,Saturday
1860,2024-05-07,Home & Garden,1,88.7,0.012,96.45,regular,5,2024,Tuesday
6390,2023-09-22,Beauty,1,29.72,0.238,29.46,discount_driven,9,2023,Friday
6191,2024-03-29,Electronics,1,96.95,0.138,83.54,regular,3,2024,Friday
6734,2023-08-21,Beauty,2,86.96,0.056,180.58,regular,8,2023,Monday
7265,2023-04-11,Home & Garden,2,128.39,0.064,240.24,high_spender,4,2023,Tuesday
1466,2024-03-20,Home & Garden,1,108.44,0.127,123.02,regular,3,2024,Wednesday
5426,2023-03-07,Sports,1,385.55,0.344,252.89,discount_driven,3,2023,Tuesday
6578,2023-04-26,Beauty,1,108.67,0.036,136.24,regular,4,2023,Wednesday
9322,2023-12-18,Beauty,2,78.41,0.121,179.12,discount_driven,12,2023,Monday
2685,2023-08-09,Clothing,3,68.27,0.064,249.16,high_spender,8,2023,Wednesday
1769,2024-05-12,Electronics,1,310.45,0.062,291.21,high_spender,5,2024,Sunday
7949,2023-11-16,Home & Garden,2,440.01,0.006,874.78,high_spender,11,2023,Thursday
3433,2024-02-26,Sports,1,230.11,0.267,219.38,discount_driven,2,2024,Monday
6311,2023-10-13,Home & Garden,2,44.02,0.121,77.42,regular,10,2023,Friday
6051,2023-12-27,Beauty,2,63.32,0.03,159.67,regular,12,2023,Wednesday
7420,2024-07-20,Beauty,2,34.75,0.127,66.75,regular,7,2024,Saturday
2184,2024-02-22,Clothing,1,180.47,0.173,193.99,regular,2,2024,Thursday
5555,2024-01-12,Books,1,25.8,0.191,27.14,regular,1,2024,Friday
4385,2023-10-20,Sports,1,134.83,0.179,110.76,regular,10,2023,Friday
7396,2024-10-10,Electronics,1,1455.73,0.072,1350.99,regular,10,2024,Thursday
9666,2023-01-08,Sports,1,358.06,0.275,337.25,discount_driven,1,2023,Sunday
3558,2023-01-20,Books,2,8.74,0.267,14.11,discount_driven,1,2023,Friday
8849,2023-01-29,Electronics,1,571.95,0.078,527.18,high_spender,1,2023,Sunday
3047,2024-11-23,Books,2,25.99,0.084,47.61,regular,11,2024,Saturday
3747,2023-02-19,Electronics,1,1091.94,0.126,1049.47,discount_driven,2,2023,Sunday
1189,2024-01-19,Home & Garden,2,207.21,0.352,295.59,discount_driven,1,2024,Friday
3734,2023-05-29,Clothing,1,139.98,0.071,130.1,high_spender,5,2023,Monday
4005,2023-08-17,Home & Garden,1,98.69,0.01,97.7,regular,8,2023,Thursday
5658,2024-10-29,Clothing,2,233.16,0.024,455.14,regular,10,2024,Tuesday
2899,2024-06-30,Electronics,2,452.48,0.074,837.7,high_spender,6,2024,Sunday
8734,2023-03-02,Books,1,25.76,0.119,22.69,regular,3,2023,Thursday
2267,2023-09-28,Books,1,38.68,0.016,38.07,regular,9,2023,Thursday
2528,2024-06-28,Beauty,1,85.79,0.286,61.28,discount_driven,6,2024,Friday
4556,2023-07-22,Clothing,1,108.54,0.192,96.43,discount_driven,7,2023,Saturday
4890,2023-07-29,Electronics,2,193.15,0.118,340.59,regular,7,2023,Saturday
9838,2024-02-18,Home & Garden,1,246.65,0.297,173.44,discount_driven,2,2024,Sunday
6393,2024-03-26,Beauty,2,69.94,0.208,110.75,discount_driven,3,2024,Tuesday
9792,2023-01-16,Books,2,17.4,0.387,21.32,discount_driven,1,2023,Monday
9433,2023-02-17,Beauty,1,28.27,0.145,24.18,discount_driven,2,2023,Friday
8513,2023-04-26,Clothing,1,116.91,0.128,101.94,regular,4,2023,Wednesday
3612,2023-05-26,Home & Garden,2,166.32,0.032,321.89,regular,5,2023,Friday
8041,2024-04-28,Beauty,2,80.09,0.129,139.46,regular,4,2024,Sunday
7235,2023-03-29,Home & Garden,1,253.42,0.106,226.58,discount_driven,3,2023,Wednesday
6486,2023-11-11,Home & Garden,1,31.31,0.331,20.95,discount_driven,11,2023,Saturday
8099,2024-11-04,Sports,1,21.27,0.065,21.89,regular,11,2024,Monday
1775,2024-09-19,Sports,2,465.27,0.061,873.39,regular,9,2024,Thursday
9226,2023-06-06,Beauty,1,68.15,0.25,56.25,discount_driven,6,2023,Tuesday
4152,2024-02-09,Clothing,4,32.45,0.093,129.5,high_spender,2,2024,Friday
2585,2023-10-28,Books,2,29.58,0.187,52.92,regular,10,2023,Saturday
4943,2024-11-02,Electronics,2,688.4,0.128,1201.13,discount_driven,11,2024,Saturday
8555,2023-12-24,Electronics,2,633.91,0.186,1032.02,regular,12,2023,Sunday
4073,2023-03-11,Beauty,2,88.8,0.17,147.45,regular,3,2023,Saturday
2021,2023-07-02,Electronics,1,747.84,0.042,716.6,regular,7,2023,Sunday
4843,2024-02-13,Electronics,1,980.17,0.025,955.77,regular,2,2024,Tuesday
8989,2024-04-02,Beauty,2,25.03,0.034,48.34,regular,4,2024,Tuesday
7873,2023-07-23,Books,1,19.6,0.127,22.24,regular,7,2023,Sunday
6675,2023-11-07,Sports,2,578.13,0.13,1106.53,regular,11,2023,Tuesday
1161,2024-12-03,Electronics,2,102.37,0.332,136.69,discount_driven,12,2024,Tuesday
5297,2024-03-19,Clothing,2,177.06,0.072,427.18,regular,3,2024,Tuesday
1995,2023-03-08,Clothing,2,31.97,0.193,51.59,regular,3,2023,Wednesday
8629,2023-01-06,Books,1,24.71,0.065,23.09,regular,1,2023,Friday
2016,2023-03-07,Home & Garden,2,85.6,0.144,146.6,regular,3,2023,Tuesday
8869,2024-10-28,Beauty,2,106.47,0.05,202.23,regular,10,2024,Monday
7439,2023-06-25,Books,1,8.24,0.358,5.29,discount_driven,6,2023,Sunday
8892,2023-01-06,Sports,2,217.88,0.383,268.95,discount_driven,1,2023,Friday
7863,2024-06-08,Beauty,2,50.26,0.126,87.82,regular,6,2024,Saturday
8916,2023-11-03,Electronics,3,1793.64,0.018,5285.16,high_spender,11,2023,Friday
9529,2024-07-13,Home & Garden,2,23.66,0.109,46.38,discount_driven,7,2024,Saturday
1878,2023-05-08,Beauty,4,27.07,0.016,117.14,high_spender,5,2023,Monday
5887,2024-02-14,Home & Garden,1,235.85,0.13,205.31,discount_driven,2,2024,Wednesday
5859,2024-12-12,Books,1,7.82,0.005,7.78,regular,12,2024,Thursday
7331,2024-10-06,Sports,3,201.65,0.062,737.9,high_spender,10,2024,Sunday
9571,2024-10-18,Electronics,1,328.61,0.023,353.22,regular,10,2024,Friday
9684,2023-11-30,Sports,1,149.32,0.067,181.14,regular,11,2023,Thursday
8208,2023-03-05,Sports,1,367.64,0.161,308.49,discount_driven,3,2023,Sunday
6276,2023-08-22,Clothing,1,149.3,0.165,137.14,regular,8,2023,Tuesday
3062,2023-12-04,Electronics,2,364.27,0.013,935.13,high_spender,12,2023,Monday
1064,2023-01-25,Clothing,2,102.57,0.01,264.07,regular,1,2023,Wednesday
9006,2023-01-28,Electronics,2,668.24,0.017,1313.48,regular,1,2023,Saturday
3568,2023-02-07,Home & Garden,1,327.92,0.023,320.42,high_spender,2,2023,Tuesday
6463,2023-06-29,Home & Garden,1,68.25,0.251,51.11,discount_driven,6,2023,Thursday
3027,2023-05-23,Books,1,34.59,0.196,27.79,regular,5,2023,Tuesday
3695,2024-05-08,Electronics,4,794.52,0.097,3156.81,high_spender,5,2024,Wednesday
6258,2024-09-08,Books,2,38.48,0.149,65.49,regular,9,2024,Sunday
6618,2024-09-27,Beauty,2,137.22,0.083,276.8,high_spender,9,2024,Friday
7736,2023-06-02,Beauty,2,116.07,0.029,293.15,high_spender,6,2023,Friday
1391,2024-06-18,Books,1,27.12,0.131,23.58,regular,6,2024,Tuesday
6892,2024-08-06,Clothing,1,60.7,0.008,60.24,high_spender,8,2024,Tuesday
4561,2023-10-26,Sports,1,303.57,0.303,211.72,discount_driven,10,2023,Thursday
7184,2024-09-05,Sports,1,215.27,0.085,197.06,regular,9,2024,Thursday
4099,2024-12-25,Books,2,23.05,0.183,48.99,regular,12,2024,Wednesday
7278,2023-09-28,Clothing,1,226.94,0.123,198.93,regular,9,2023,Thursday
9392,2024-07-02,Clothing,2,88.23,0.012,191.86,high_spender,7,2024,Tuesday
4104,2024-02-24,Home & Garden,1,156.68,0.159,131.75,discount_driven,2,2024,Saturday
8215,2024-06-26,Clothing,1,109.89,0.167,91.56,regular,6,2024,Wednesday
3454,2024-03-19,Beauty,4,113.4,0.005,451.2,high_spender,3,2024,Tuesday
9996,2024-01-04,Clothing,2,177.94,0.081,425.22,regular,1,2024,Thursday
3731,2024-04-22,Sports,1,224.91,0.113,199.56,regular,4,2024,Monday
9154,2023-11-25,Books,1,43.09,0.082,39.58,high_spender,11,2023,Saturday
6056,2023-01-31,Sports,2,473.96,0.383,584.9,discount_driven,1,2023,Tuesday
9110,2023-12-22,Electronics,1,591.98,0.051,561.88,high_spender,12,2023,Friday
4840,2023-07-29,Books,4,8.71,0.059,36.05,high_spender,7,2023,Saturday
2028,2023-09-10,Home & Garden,1,372.76,0.067,452.34,regular,9,2023,Sunday
8385,2024-10-07,Beauty,2,98.0,0.02,211.22,regular,10,2024,Monday
1502,2023-08-10,Electronics,1,684.15,0.119,663.0,regular,8,2023,Thursday
7910,2024-08-24,Electronics,1,440.67,0.049,544.8,high_spender,8,2024,Saturday
7938,2024-02-02,Books,1,25.65,0.114,29.54,regular,2,2024,Friday
5488,2023-03-19,Books,2,18.41,0.241,27.94,discount_driven,3,2023,Sunday
1206,2023-01-15,Clothing,1,237.4,0.024,231.61,regular,1,2023,Sunday
6134,2024-06-15,Sports,1,196.7,0.169,163.4,regular,6,2024,Saturday
6977,2023-10-13,Books,1,21.31,0.062,19.99,regular,10,2023,Friday
8721,2024-12-18,Books,1,37.75,0.145,41.98,regular,12,2024,Wednesday
8035,2024-08-10,Clothing,2,108.46,0.014,278.18,regular,8,2024,Saturday
2484,2023-08-29,Home & Garden,2,190.38,0.134,362.67,discount_driven,8,2023,Tuesday
8858,2024-07-14,Clothing,2,22.09,0.156,41.0,regular,7,2024,Sunday
1863,2024-03-13,Sports,2,520.95,0.256,775.57,discount_driven,3,2024,Wednesday
